message,label
"URGENT! Your bank account will be blocked. Verify your OTP immediately.",1
"Your account has been suspended. Click here to verify your password.",1
"Congratulations! You won a prize. Claim your reward now.",1
"Your payment failed. Confirm your card details immediately.",1
"Security alert! Verify your account or it will be permanently disabled.",1
"Your parcel is waiting. Pay the delivery fee using this link.",1
"Your bank account requires immediate verification. Send your OTP.",1
"Congratulations, you are selected for a cash reward. Claim now.",1
"Your UPI account will be blocked. Verify your PIN immediately.",1
"Important security notice. Login and confirm your credentials.",1
"Your bank statement for this month is now available in your banking app.",0
"Your payment of Rs 500 was successfully completed.",0
"Your appointment is confirmed for Monday at 10 AM.",0
"Please find the meeting details attached for tomorrow's project discussion.",0
"Your order has been shipped and will arrive by Friday.",0
"Your electricity bill is due on the 15th of this month.",0
"Thank you for attending today's workshop. We hope you found it useful.",0
"Your password was changed successfully from your account settings.",0
"Your college timetable has been updated. Please check the student portal.",0
"Your parcel has been delivered successfully.",0
